Question,Correct Answer,,
"A topologia de rede descreve o arranjo e a localização dos nós da rede e a maneira como eles estão conectados. Quando temos diversos dispositivos interconectados entre si, sem a utilização de equipamentos intermediários (por exemplo: hub, switch ou roteador), criamos uma relação de dependência, na qual cada nó é responsável pelo funcionamento do laço como um todo. Essa é a grande desvantagem desse arranjo. Sua maior vantagem, por outro lado, é que esse tipo de interligação não tem limite de distância, pois as estações de trabalho são conectadas em uma configuração de circuito fechado.Considerando as características do arranjo apontado no enunciado, é correto afirmar que estamos falando sobre a topologia:",Anel.,,
"Existe uma topologia que é a mais utilizada em redes locais de pequena abrangência. Nela, todos os dispositivos são conectados a equipamentos centralizadores denominados concentradores. Eles são responsáveis por definir a lógica como as informações se propagarão na rede. Sua maior desvantagem está nas distâncias atendidas, que se limitam ao tipo de mídia (cabo) utilizado. Tem também um custo considerável, pensando na quantidade de cabos necessária para cada nó conectado. A grande vantagem está no desempenho e na estabilidade, em que cada dispositivo é independente.A partir disso, com as principais topologias físicas em mente, é correto afirmar que estamos falando sobre a topologia:",Estrela.,,
"Os modos de transmissão estão muito associados ao tipo de receptor que possuímos. Exemplificando isso de uma forma simples: em um rádio AM/FM, as informações são apenas recebidas, não há uma possibilidade de conversação com o transmissor, somos apenas receptores. Em um walkie-talkie, temos a situação em que falamos e liberamos o botão para poder escutar, ou seja, em alguns momentos somos receptores e, em outros, transmissores, mas nunca ambos simultaneamente. Em um telefone, temos a situação em que podemos interagir diretamente, falando e escutando, ou seja, somos receptores e transmissores simultaneamente.Considerando essas informações e o conteúdo estudado, estamos tratando, respectivamente, de quais modos de transmissão?","Simplex, Half-duplex e Full-duplex.",,
"Uma forma de comunicação naval militar que era e ainda é muito utilizada é o código Morse. Ele é muito simples, por isso, em uma situação de comunicação limitada, no caso uma emergência, é muito útil como uma forma precária de transmissão, porém, é extremamente eficaz. Basicamente, um simples transmissor, que pode ser uma lâmpada, uma pedra batendo em uma chapa ou até mesmo a ação de ligar e desligar o dispositivo de forma a gerar um simples pulso já é mais que o suficiente para se comunicar. Sua base são traços e pontos, sinais longos e curtos, que, por meio de uma tabela, são codificados, representando símbolos e letras.Considerando essas informações e o conteúdo estudado, pode-se afirmar que estamos tratando de um tipo de sinal específico e de uma funcionalidade. Quais são, respectivamente?",Sinal digital e Criptografia.,,
"Como vimos, existem algumas formas de transmissão de dados entre duas máquinas. Sobre esse assunto, analise as afirmações a seguir e julgue-as como V (Verdadeira) e F (Falsa):I.  Uma forma de identificar como a transmissão acontece é o sentido da troca. II.  Existem modos de transmissão de dados com base no sentido da troca, por exemplo: criptografia e firewalls.III.  O tipo full-duplex permite a transmissão em ambas as direções em uma portadora de sinal ao mesmo tempo.Assinale a alternativa com a sequência correta.","V, F, V.",,
"Topologia vem do grego topos, ""lugar"", e logos, ""estudo"", ou seja, é um estudo do lugar. Em redes, esses lugares possuem formas e usos específicos, inclusive com equipamentos distintos. Para uma melhor otimização dos equipamentos e dos elementos de conectividade, nos primórdios das redes eram utilizados cabos principais, ou tronco, que compartilhavam a conexão com os demais clientes, ou hosts, por meio de cabos auxiliares que se conectavam diretamente a ele. Esses cabos “mordiam” o tronco de forma a acessar e compartilhar os recursos.Tendo em mente o que estudamos sobre as principais topologias físicas, sobre qual topologia estamos falando?",Barramento.,,
"De acordo com a abrangência, ou seja, a área geográfica atendida, temos tipos diferentes de redes. Elas podem ser distribuídas em áreas menores, conhecidas como locais, atendendo muitos usuários, a altas taxas de transmissão. Podem também ser distribuídas em áreas mais amplas, com o tamanho de uma cidade, por exemplo, atendendo um número maior ainda de usuários, porém com taxas menores. E, por fim, temos as redes de tamanho mundial, que atendem ao mundo todo, em taxas menores do que ambas as anteriores.Conforme o que falamos anteriormente e baseado nos conhecimentos adquiridos durante seus estudos, estamos tratando de quais tipos de redes, respectivamente?","LAN, MAN e WAN.",,
"Conhecido como modelo de fato, foi implementado junto com as primeiras redes conhecidas. Esse modelo foi desenvolvido em 1969 pelo Departamento de Defesa dos Estados Unidos, como recurso de comunicação da ARPANET, precursora da Internet. Seu protocolo base, o IP, é de ampla utilização desde o princípio até os dias atuais. É tratado por fato, pois é como hoje estão realmente implantadas as redes, não sendo meramente um modelo acadêmico. Suas 4 camadas (Aplicação, Transporte, Internet e Acesso a Rede) representam como funciona uma rede, sendo perceptível o funcionamento de cada uma delas. Conforme a definição apresentada e com base nos conhecimentos adquiridos anteriormente, estamos tratando de qual modelo?",Modelo TCP/IP.,,
"A transmissão de dados entre duas máquinas pode ser realizada de diferentes modos. Uma delas é por meio do sentido das trocas. Um modo é caracterizado pelo envio apenas de informações em uma única direção. Por exemplo: uma estação de rádio geralmente envia sinais para o público, mas nunca recebe sinais deles.Considerando essas informações e o conteúdo estudado, pode-se afirmar que o modo de transmissão de dados de que estamos falando é do tipo:",simplex.,,
"A comunicação de dados é o movimento da informação do computador de um ponto para outro por meio de sistemas de transmissão elétrica ou ótica. Assim, um canal de comunicação é necessário para transportar o sinal de um ponto para outro. Tradicionalmente, o canal é fornecido por pares de fios de cobre, por meio de micro-ondas terrestres, micro-ondas por satélite, cabo de fibra óptica e sinais de rádio. Considerando essas informações e o conteúdo estudado, pode-se afirmar que existem dois tipos básicos de sinais nos sistemas de comunicação, que são:",Sinal analógico e digital.,,
"Atualmente, não temos redes totalmente digitais ou totalmente analógicas: temos uma mistura dos dois. Sendo assim, é preciso, em vários pontos de uma rede, converter entre os dois tipos de sinal. Os dispositivos que lidam com essas conversões são chamados de:",Codecs e modems.,,
"Como vimos, existem algumas formas de transmissão de dados entre duas máquinas. Sobre esse assunto, analise as afirmações a seguir e julgue-as como V (Verdadeira) e F (Falsa):I.  Uma forma de identificar como a transmissão acontece é o sentido da troca. II.  Existem modos de transmissão de dados com base no sentido da troca, por exemplo: criptografia e firewalls.III.  O tipo full-duplex permite a transmissão em ambas as direções em uma portadora de sinal ao mesmo tempo.Assinale a alternativa com a sequência correta.","V, F, V.",,
"Anteriormente era muito utilizado, em sistemas computacionais, um equipamento de grande porte com grande capacidade de processamento (para a época) e que ocupava um espaço imenso nas instalações, muitas vezes do tamanho de uma sala grande. Devido ao calor gerado pelos seus componentes, basicamente válvulas, ele tinha que ficar em um ambiente isolado, altamente climatizado. Para acessá-lo, era necessária uma conexão externa, remota, tornando sua operação adequada aos programadores sem necessidade de entrar na sala.No texto acima, vimos um contexto histórico que caracterizava os equipamentos de grande processamento da época. Devido a essa necessidade de acesso ao equipamento, sem possibilidade de compartilhar o mesmo ambiente, surgiu uma nova tecnologia. O que tinha acabado de ser inventado?",Redes de computadores.,,
"De acordo com a abrangência, ou seja, a área geográfica atendida, temos tipos diferentes de redes. Elas podem ser distribuídas em áreas menores, conhecidas como locais, atendendo muitos usuários, a altas taxas de transmissão. Podem também ser distribuídas em áreas mais amplas, com o tamanho de uma cidade, por exemplo, atendendo um número maior ainda de usuários, porém com taxas menores. E, por fim, temos as redes de tamanho mundial, que atendem ao mundo todo, em taxas menores do que ambas as anteriores.Conforme o que falamos anteriormente e baseado nos conhecimentos adquiridos durante seus estudos, estamos tratando de quais tipos de redes, respectivamente?","LAN, MAN e WAN.",,
"A comunicação de dados é o movimento da informação do computador de um ponto para outro por meio de sistemas de transmissão elétrica ou ótica. Assim, um canal de comunicação é necessário para transportar o sinal de um ponto para outro. Tradicionalmente, o canal é fornecido por pares de fios de cobre, por meio de micro-ondas terrestres, micro-ondas por satélite, cabo de fibra óptica e sinais de rádio. Considerando essas informações e o conteúdo estudado, pode-se afirmar que existem dois tipos básicos de sinais nos sistemas de comunicação, que são:",Sinal analógico e digital.,,
"Os modos de transmissão estão muito associados ao tipo de receptor que possuímos. Exemplificando isso de uma forma simples: em um rádio AM/FM, as informações são apenas recebidas, não há uma possibilidade de conversação com o transmissor, somos apenas receptores. Em um walkie-talkie, temos a situação em que falamos e liberamos o botão para poder escutar, ou seja, em alguns momentos somos receptores e, em outros, transmissores, mas nunca ambos simultaneamente. Em um telefone, temos a situação em que podemos interagir diretamente, falando e escutando, ou seja, somos receptores e transmissores simultaneamente.Considerando essas informações e o conteúdo estudado, estamos tratando, respectivamente, de quais modos de transmissão?","Simplex, Half-duplex e Full-duplex.",,
"A topologia de rede descreve o arranjo e a localização dos nós da rede e a maneira como eles estão conectados. Quando temos diversos dispositivos interconectados entre si, sem a utilização de equipamentos intermediários (por exemplo: hub, switch ou roteador), criamos uma relação de dependência, na qual cada nó é responsável pelo funcionamento do laço como um todo. Essa é a grande desvantagem desse arranjo. Sua maior vantagem, por outro lado, é que esse tipo de interligação não tem limite de distância, pois as estações de trabalho são conectadas em uma configuração de circuito fechado.Considerando as características do arranjo apontado no enunciado, é correto afirmar que estamos falando sobre a topologia:",Anel.,,
"A transmissão de dados entre duas máquinas pode ser realizada de diferentes modos. Uma delas é por meio do sentido das trocas. Um modo é caracterizado pelo envio apenas de informações em uma única direção. Por exemplo: uma estação de rádio geralmente envia sinais para o público, mas nunca recebe sinais deles.Considerando essas informações e o conteúdo estudado, pode-se afirmar que o modo de transmissão de dados de que estamos falando é do tipo:",simplex.,,
"Uma forma de comunicação naval militar que era e ainda é muito utilizada é o código Morse. Ele é muito simples, por isso, em uma situação de comunicação limitada, no caso uma emergência, é muito útil como uma forma precária de transmissão, porém, é extremamente eficaz. Basicamente, um simples transmissor, que pode ser uma lâmpada, uma pedra batendo em uma chapa ou até mesmo a ação de ligar e desligar o dispositivo de forma a gerar um simples pulso já é mais que o suficiente para se comunicar. Sua base são traços e pontos, sinais longos e curtos, que, por meio de uma tabela, são codificados, representando símbolos e letras.Considerando essas informações e o conteúdo estudado, pode-se afirmar que estamos tratando de um tipo de sinal específico e de uma funcionalidade. Quais são, respectivamente?",Sinal digital e Criptografia.,,
"Anteriormente era muito utilizado, em sistemas computacionais, um equipamento de grande porte com grande capacidade de processamento (para a época) e que ocupava um espaço imenso nas instalações, muitas vezes do tamanho de uma sala grande. Devido ao calor gerado pelos seus componentes, basicamente válvulas, ele tinha que ficar em um ambiente isolado, altamente climatizado. Para acessá-lo, era necessária uma conexão externa, remota, tornando sua operação adequada aos programadores sem necessidade de entrar na sala.No texto acima, vimos um contexto histórico que caracterizava os equipamentos de grande processamento da época. Devido a essa necessidade de acesso ao equipamento, sem possibilidade de compartilhar o mesmo ambiente, surgiu uma nova tecnologia. O que tinha acabado de ser inventado?",Redes de computadores.,,
"Topologia vem do grego topos, ""lugar"", e logos, ""estudo"", ou seja, é um estudo do lugar. Em redes, esses lugares possuem formas e usos específicos, inclusive com equipamentos distintos. Para uma melhor otimização dos equipamentos e dos elementos de conectividade, nos primórdios das redes eram utilizados cabos principais, ou tronco, que compartilhavam a conexão com os demais clientes, ou hosts, por meio de cabos auxiliares que se conectavam diretamente a ele. Esses cabos “mordiam” o tronco de forma a acessar e compartilhar os recursos.Tendo em mente o que estudamos sobre as principais topologias físicas, sobre qual topologia estamos falando?",Barramento.,,
"Atualmente, não temos redes totalmente digitais ou totalmente analógicas: temos uma mistura dos dois. Sendo assim, é preciso, em vários pontos de uma rede, converter entre os dois tipos de sinal. Os dispositivos que lidam com essas conversões são chamados de:",Codecs e modems.,,
"Conhecido como modelo de fato, foi implementado junto com as primeiras redes conhecidas. Esse modelo foi desenvolvido em 1969 pelo Departamento de Defesa dos Estados Unidos, como recurso de comunicação da ARPANET, precursora da Internet. Seu protocolo base, o IP, é de ampla utilização desde o princípio até os dias atuais. É tratado por fato, pois é como hoje estão realmente implantadas as redes, não sendo meramente um modelo acadêmico. Suas 4 camadas (Aplicação, Transporte, Internet e Acesso a Rede) representam como funciona uma rede, sendo perceptível o funcionamento de cada uma delas. Conforme a definição apresentada e com base nos conhecimentos adquiridos anteriormente, estamos tratando de qual modelo?",Modelo TCP/IP.,,
"Existe uma topologia que é a mais utilizada em redes locais de pequena abrangência. Nela, todos os dispositivos são conectados a equipamentos centralizadores denominados concentradores. Eles são responsáveis por definir a lógica como as informações se propagarão na rede. Sua maior desvantagem está nas distâncias atendidas, que se limitam ao tipo de mídia (cabo) utilizado. Tem também um custo considerável, pensando na quantidade de cabos necessária para cada nó conectado. A grande vantagem está no desempenho e na estabilidade, em que cada dispositivo é independente.A partir disso, com as principais topologias físicas em mente, é correto afirmar que estamos falando sobre a topologia:",Estrela.,,
"Protocolos de rede são os conjuntos de normas que permitem que duas ou mais máquinas conectadas à internet se comuniquem entre si. Os protocolos garantem que o processo aconteça, encapsulando e desencapsulando as camadas. Dentre os vários protocolos que existem, o protocolo de transferência da web (HTTP) padrão possui um protocolo variante que adiciona uma camada de segurança aos dados em trânsito por meio de uma conexão SSL (Secure Sockets Layer ou Camada de Soquetes Seguros) ou TLS (Transport Layer Security ou Segurança da Camada de Transporte). O protocolo em questão funciona em colaboração com autoridades de certificação que avaliam o certificado de segurança do site acessado.Considerando essas informações e o conteúdo estudado sobre redes de computadores, é correto afirmar que o protocolo descrito se chama:",HTTPS.,,
"De uma forma mais prática, não seria razoável termos que decorar os endereços IP de cada site para acessá-los, da mesma forma que não decoramos os números de telefone de nossos contatos em uma agenda telefônica. É muito mais intuitivo ao usuário associar um nome a um endereço do que uma sequência numérica, mesmo que em um formato definido. Em uma rede, possuímos servidores específicos que funcionam como agendas em diversas partes ou segmentos. No próprio dispositivo, temos outro em nossa rede privada, outro fornecido pelo provedor e ainda os disponíveis na rede pública.Considerando essas informações e o conteúdo estudado, pode-se afirmar que o DNS é usado para:",Converter nomes de domínio em endereços.,,
"O modelo OSI tem como objetivo criar uma estrutura para definições de padrões para interoperabilidade de sistemas e conectividade de sistemas diferentes, ou seja, para que diferentes fabricantes possam montar protocolos que sejam interoperáveis. Cada camada do modelo OSI, em razão de sua função, tem um dispositivo associado a ela. Uma dessas camadas se destina a consolidar os requisitos de hardware de uma rede para permitir a transmissão bem-sucedida de dados, incluindo formas e tipos de conectores, cabos e frequências para cada meio físico. Considerando essas informações e o conteúdo estudado sobre redes de computadores, é correto afirmar que a camada descrita se chama:",Física.,,
"FTP é um serviço de compartilhamento de arquivos privados em uma rede pública, podendo ou não ser autenticado. Normalmente pode ser acessado de modo anônimo via navegador, sem autenticação, para download dos arquivos armazenados. Para fazer o upload remoto de arquivos, é necessário um software cliente, que, utilizando autenticação, estabelece uma sessão entre o host e o servidor, possibilitando a carga dos arquivos a serem armazenados.Considerando essas informações e o conteúdo estudado sobre o serviço FTP, podemos afirmar que este significa:",Protocolo de Transferência de Arquivos.,,
"Uma das camadas do modelo OSI tem a função de traduzir, principalmente, dados entre a camada de aplicação e o formato de rede. Os dados podem ser comunicados em diferentes formatos por meio de diferentes fontes. Assim, a camada é responsável por integrar todos os formatos em um formato padrão, a fim de garantir uma comunicação eficiente e eficaz. Tal camada segue esquemas de estrutura de programação de dados desenvolvidos para diferentes linguagens, fornecendo a sintaxe em tempo real necessária para a comunicação entre dois objetos, como camadas, sistemas ou redes. O formato de dados deve ser aceitável pelas próximas camadas; caso contrário, a camada pode não ser executada corretamente. Considerando essas informações e o conteúdo estudado, pode-se afirmar que a camada do modelo OSI que especifica formatação de dados, como criptografia, por exemplo, é a:",camada de apresentação.,,
"No princípio das redes, por conta da estrutura adotada para endereçamento baseada em endereços de 32 bits, a quantidade de possíveis dispositivos conectados em escala mundial era de aproximadamente 4 bilhões, quantidade inconcebível para época, considerando que a de habitantes do planeta era quase a mesma. Com o surgimento e a evolução dos meios de conexão e a inserção de novos dispositivos pessoais, como laptops, smartphones, tablets, GPS, smart TVs etc., começou a acontecer o esgotamento dos endereços disponíveis. Como alternativa, adotou-se uma forma de otimizar os endereços, centralizando os endereços privados em um único endereço público. Considerando o texto-base, é correto afirmar que o processo/protocolo que traduz um ou vários endereços IP privados em um único endereço IP público, durante o trânsito em um dispositivo roteador, é chamado de:",Tradução de Endereços de Rede (NAT).,,
"Uma das camadas do Modelo OSI assume a responsabilidade pela verificação da entrega de dados. É nesta camada especificamente que se faz o uso de mecanismos de entrega, sendo necessário decidir entre a entrega de dados verificada e a não verificada. Considerando essas informações e o conteúdo estudado sobre redes de computadores, assinale a alternativa que representa a camada descrita:",transporte.,,
"O modelo de referência da OSI foi instituído para padronizar a comunicação entre os dispositivos. Ele permite que dois equipamentos de fabricantes distintos se comuniquem obedecendo aos padrões das camadas. Por ser um padrão legal, normatizado, ele é apenas conceitual, não sendo implementável na prática. Já o modelo TCP/IP é um padrão de fato, aplicado, que é implementável na prática. Algumas das camadas do OSI não são transpostas diretamente no TCP/IP, porém suas funcionalidades são. Considerando essas informações e o conteúdo estudado sobre redes de computadores, é correto afirmar que a principal função da camada de transporte é:",fornecer entrega de ponta a ponta.,,
"A camada de enlace tem como principal função fornecer um meio de transmissão confiável entre dois sistemas adjacentes. Para redes locais, a camada de enlace é dividida em dois subníveis, são eles:",LLC e MAC.,,
"A camada de enlace de dados possui diversas funções, que envolvem basicamente o controle dos frames. O objetivo dessa camada é garantir que haja capacidade de receber e enviar as informações compatíveis entre transmissor, mídia, dispositivos intermediários e receptor; aplicar a janela deslizante, em que vários quadros podem ser enviados por um remetente por vez antes de receber uma confirmação do receptor e, por último, verificar se há utilização da via de transmissão para poder fazer os envios. Eventualmente, quando a informação chega de forma incorreta, é seu papel também solicitar a retransmissão.Considerando essas informações e o conteúdo estudado sobre o assunto, é possível afirmar que são serviços da camada enlace, EXCETO:",abertura de sessão.,,
"O SSH não é o único tipo de software de acesso remoto conhecido. Antes dele, um protocolo foi projetado para acesso remoto ao servidor pelo gerenciamento e arquitetura cliente-servidor. Ele funciona por meio de um programa criado especificamente para fornecer conectividade entre dois computadores remotos: o do cliente e outro do servidor.Considerando essas informações e o conteúdo estudado, pode-se afirmar que o SSH é o protocolo que substituiu o:",Telnet.,,
"Na camada de aplicação, diversos protocolos são associados a diversos serviços compartilhados de rede, utilizados frequentemente pelos usuários para suas demandas diárias, tais como: correio eletrônico, resolução de nomes, atribuição automática de endereços IP, compartilhamento de arquivos em redes públicas e privadas, impressão, VoIP, criptografia, armazenamento, cópia de segurança etc.Considerando essas informações e o conteúdo estudado sobre protocolos que pertencem à camada de aplicação, analise os itens a seguir e assinale V para o(s) verdadeiro(s) e F para o(s) falso(s).( ) POP3.( ) FTP.( ) ETHERNET.( ) SMTP.( ) SSH.","V, V, F, V, V.",,
"O modelo OSI tem como objetivo criar uma estrutura para definições de padrões para interoperabilidade de sistemas e conectividade de sistemas diferentes, ou seja, para que diferentes fabricantes possam montar protocolos que sejam interoperáveis. Cada camada do modelo OSI, em razão de sua função, tem um dispositivo associado a ela. Uma dessas camadas se destina a consolidar os requisitos de hardware de uma rede para permitir a transmissão bem-sucedida de dados, incluindo formas e tipos de conectores, cabos e frequências para cada meio físico. Considerando essas informações e o conteúdo estudado sobre redes de computadores, é correto afirmar que a camada descrita se chama:",Física.,,
"Uma das camadas do Modelo OSI assume a responsabilidade pela verificação da entrega de dados. É nesta camada especificamente que se faz o uso de mecanismos de entrega, sendo necessário decidir entre a entrega de dados verificada e a não verificada. Considerando essas informações e o conteúdo estudado sobre redes de computadores, assinale a alternativa que representa a camada descrita:",transporte.,,
"FTP é um serviço de compartilhamento de arquivos privados em uma rede pública, podendo ou não ser autenticado. Normalmente pode ser acessado de modo anônimo via navegador, sem autenticação, para download dos arquivos armazenados. Para fazer o upload remoto de arquivos, é necessário um software cliente, que, utilizando autenticação, estabelece uma sessão entre o host e o servidor, possibilitando a carga dos arquivos a serem armazenados.Considerando essas informações e o conteúdo estudado sobre o serviço FTP, podemos afirmar que este significa:",Protocolo de Transferência de Arquivos.,,
"A comunicação sem fio desempenha um papel significativo no dia a dia. Além da comunicação, a tecnologia se tornou parte integrante de nossas atividades diárias. A comunicação sem fio fornece uma troca de dados sem qualquer condutor por meio de sinais de ondas eletromagnéticas. A informação é transmitida por meio dos dispositivos ao longo de alguns metros ou a centenas de quilômetros por meio de canais bem definidos; diferentes tipos de sinais são listados na comunicação entre os dispositivos para transmissão de dados sem fio.Considerando essas informações e o conteúdo estudado, são exemplos detipos de tecnologias de comunicação sem fio, EXCETO:",Cabo par trançado.,,
"O modelo de referência da OSI foi instituído para padronizar a comunicação entre os dispositivos. Ele permite que dois equipamentos de fabricantes distintos se comuniquem obedecendo aos padrões das camadas. Por ser um padrão legal, normatizado, ele é apenas conceitual, não sendo implementável na prática. Já o modelo TCP/IP é um padrão de fato, aplicado, que é implementável na prática. Algumas das camadas do OSI não são transpostas diretamente no TCP/IP, porém suas funcionalidades são. Considerando essas informações e o conteúdo estudado sobre redes de computadores, é correto afirmar que a principal função da camada de transporte é:",fornecer entrega de ponta a ponta.,,
"De uma forma mais prática, não seria razoável termos que decorar os endereços IP de cada site para acessá-los, da mesma forma que não decoramos os números de telefone de nossos contatos em uma agenda telefônica. É muito mais intuitivo ao usuário associar um nome a um endereço do que uma sequência numérica, mesmo que em um formato definido. Em uma rede, possuímos servidores específicos que funcionam como agendas em diversas partes ou segmentos. No próprio dispositivo, temos outro em nossa rede privada, outro fornecido pelo provedor e ainda os disponíveis na rede pública.Considerando essas informações e o conteúdo estudado, pode-se afirmar que o DNS é usado para:",Converter nomes de domínio em endereços.,,
"A maioria dos softwares que utilizamos possuem uma linguagem própria de comunicação. Essa linguagem própria é denominada de protocolo, que consiste basicamente nas regras de comunicação entre transmissores e receptores. Os protocolos têm uma estrutura predefinida que os desenvolvedores do software devem conhecer para que possam formatá-la de maneira que a camada de apresentação consiga traduzir essa informação e enviar para as camadas inferiores. Perceba que existem inúmeros protocolos na camada de aplicação e que todos eles têm funções específicas e informações importantes sobre o que cada camada deve fazer, como, por exemplo, a porta, o tamanho do frame, a quantidade de bits, a sincronização deles etc.Considerando essas informações e conteúdo estudado, relacione os protocolos abaixo com suas respectivas camadas:1) Camada de Aplicação.2) Camada de Transporte.3) Camada de Rede.4) Camada Física.( ) SMTP, POP3, IMAP.( ) TCP, UDP.( ) IPv4, IPv6.( ) FTP.( ) HTTP, HTTPS.( ) ISDN, xDSL, Ethernet.A seguir, assinale a alternativa que apresenta a sequência correta:","1, 2, 3, 1, 1, 4.",,
"A camada de enlace tem como principal função fornecer um meio de transmissão confiável entre dois sistemas adjacentes. Para redes locais, a camada de enlace é dividida em dois subníveis, são eles:",LLC e MAC.,,
"O SSH não é o único tipo de software de acesso remoto conhecido. Antes dele, um protocolo foi projetado para acesso remoto ao servidor pelo gerenciamento e arquitetura cliente-servidor. Ele funciona por meio de um programa criado especificamente para fornecer conectividade entre dois computadores remotos: o do cliente e outro do servidor.Considerando essas informações e o conteúdo estudado, pode-se afirmar que o SSH é o protocolo que substituiu o:",Telnet.,,
"Na camada de aplicação, diversos protocolos são associados a diversos serviços compartilhados de rede, utilizados frequentemente pelos usuários para suas demandas diárias, tais como: correio eletrônico, resolução de nomes, atribuição automática de endereços IP, compartilhamento de arquivos em redes públicas e privadas, impressão, VoIP, criptografia, armazenamento, cópia de segurança etc.Considerando essas informações e o conteúdo estudado sobre protocolos que pertencem à camada de aplicação, analise os itens a seguir e assinale V para o(s) verdadeiro(s) e F para o(s) falso(s).( ) POP3.( ) FTP.( ) ETHERNET.( ) SMTP.( ) SSH.","V, V, F, V, V.",,
"Protocolos de rede são os conjuntos de normas que permitem que duas ou mais máquinas conectadas à internet se comuniquem entre si. Os protocolos garantem que o processo aconteça, encapsulando e desencapsulando as camadas. Dentre os vários protocolos que existem, o protocolo de transferência da web (HTTP) padrão possui um protocolo variante que adiciona uma camada de segurança aos dados em trânsito por meio de uma conexão SSL (Secure Sockets Layer ou Camada de Soquetes Seguros) ou TLS (Transport Layer Security ou Segurança da Camada de Transporte). O protocolo em questão funciona em colaboração com autoridades de certificação que avaliam o certificado de segurança do site acessado.Considerando essas informações e o conteúdo estudado sobre redes de computadores, é correto afirmar que o protocolo descrito se chama:",HTTPS.,,
